网点代码,网点名称,期间,业务总收入,代理金融收入,寄递业务收入,函件收入,国际函件收入,国内普包收入,机要收入,报刊收入,集邮收入,代理服务收入,信息服务收入,分销配送收入,文创收入,其他销售商品收入,其他业务收入,业务总成本,主营业务成本,管理费用,人工成本,业务代办费,业务外包费,折旧费,修理费,租赁成本,运输成本,营销费用,低值易耗品摊销,材料用品,印制成本+印制产品成本,集邮业务成本,分销商品销售成本,劳动保护费,安全保卫费,水电取暖费,行政办公经费,营业利润,利润总额,company,region,period,year,month,业务总收入_单月,营业利润_单月,利润总额_单月
43006404,南湖花园支局,2025年1月,963545.24,959193.77,1860.65,156.1,0.0,523.0,0,0.0,0.0,1751.71,0.0,0.0,0,60.01,0.0,183150.761919269,172241.814275404,7992.03148710828,116976.903289706,0.0,0.0,4192.49021719186,2330.2255,0.0,723.87185744354,40151.788,1710.02,3217.681,0.0,0.0,0.0,0.0,10836.5280111175,2418.53,0.0,780394.478080731,780394.478080731,07武汉武昌区,武昌区,2025-01,2025,1,963545.24,780394.478080731,780394.478080731
43006405,新余家湾支局,2025年1月,810231.07,808574.62,279.38,134.3,0.0,337.0,0,0.0,0.0,873.46,0.0,0.0,0,32.31,0.0,206040.534511493,189168.12643572,2925.69103665346,78651.0860965688,0.0,0.0,3525.40357590256,1260.2255,44559.89,902.139718510502,47412.638,1197.01,3217.681,0.0,0.0,0.0,0.0,11536.5542424066,0.0,0.0,604190.535488507,604190.535488507,07武汉武昌区,武昌区,2025-01,2025,1,810231.07,604190.535488507,604190.535488507
43006407,静安路支局,2025年1月,766076.85,762510.03,457.56,150.3,0.0,922.5,0,0.0,0.0,1932.92,0.0,0.0,0,103.54,0.0,320481.019217521,290263.915692917,4340.39402696955,81577.8798266714,0.0,51006.9182211859,3333.28375867661,1230.2255,63089.88,1060.98920894705,77154.6479999999,1710.02,3252.18166622252,0.0,0.0,0.0,0.0,8767.26575847768,0.0,0.0,445595.830782479,445595.830782479,07武汉武昌区,武昌区,2025-01,2025,1,766076.85,445595.830782479,445595.830782479
43006410,紫阳路支局,2025年1月,939876.78,864867.66,1701.72,398.5,0.0,1844.0,0,0.0,66717.87,4086.61,0.0,0.0,0,260.42,0.0,348717.876641422,291353.681498572,9274.31323497458,139991.125201627,0.0,1899.02511204652,4089.50617151695,730.2255,65635.23,2232.41615914919,39583.318,2052.02,3332.84341445097,675.058897024471,21892.5466636696,0.0,0.0,16746.3211366975,0.0,0.0,591158.903358578,591158.903358578,07武汉武昌区,武昌区,2025-01,2025,1,939876.78,591158.903358578,591158.903358578
43006413,湖北工业大学支局,2025年1月,442.75,0.0,135.25,51.1,0.0,236.5,0,0.0,0.0,0.0,0.0,0.0,0,19.9,0.0,32144.6503819153,25927.7707148015,1288.78830429623,12460.0078210117,0.0,0.0,1.92645344152361,0.0,14179.63,342.974744644528,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31701.9003819153,-31701.9003819153,07武汉武昌区,武昌区,2025-01,2025,1,442.75,-31701.9003819153,-31701.9003819153
43006419,南湖新城支局,2025年1月,1112068.75,1102718.2,4014.2,290.0,0.0,2086.5,0,0.0,0.0,2780.11,0.0,0.0,0,179.74,0.0,317681.822856256,279843.333542743,6743.44263264664,136179.537741422,0.0,17898.7782841742,4838.73217537744,730.2255,44558.67,2980.82530978869,55300.578,2223.02,5818.20590824299,0.0,0.0,0.0,0.0,14811.2091532707,1681.42,0.0,794386.927143744,794386.927143744,07武汉武昌区,武昌区,2025-01,2025,1,1112068.75,794386.927143744,794386.927143744
43006601,徐东路支局,2025年1月,845887.98,838333.23,2679.4,366.1,0.0,926.0,0,0.0,0.0,3525.02,0.0,0.0,0,58.23,0.0,192629.130016925,185707.912034772,5382.94331000214,102611.101738592,0.0,1464.83114287445,3680.55067242113,1260.2255,0.0,1105.1416283053,60950.368,1539.01,3306.51262739991,0.0,0.0,0.0,0.0,9639.81969174597,2262.37,0.0,653258.849983075,653258.849983075,07武汉武昌区,武昌区,2025-01,2025,1,845887.98,653258.849983075,653258.849983075
43007101,水果湖支局,2025年1月,2209501.91,1879909.49,30902.0099999999,2581.5,0.0,3758.5,0,0.0,273637.43,17811.17,0.0,0.0,0,901.81,0.0,488943.497748707,465704.850127651,17348.9422390201,214751.172127697,0.0,42904.4067515596,9613.78330564087,2159.3455,0.0,7986.6072984051,47729.018,3420.03,3780.39091308824,4887.23376229007,89790.3396076887,0.0,0.0,45580.2413021675,9588.2,0.0,1720558.41225129,1720558.41225129,07武汉武昌区,武昌区,2025-01,2025,1,2209501.91,1720558.41225129,1720558.41225129
43007102,中南路支局,2025年1月,55.27,0.0,40.27,15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13141.9650120792,11853.2399064576,1288.68374046532,12460.0078210117,0.0,0.0,0.240485785913066,0.0,0.0,-0.944659874650741,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,475.62,0.0,-13086.6950120792,-13086.6950120792,07武汉武昌区,武昌区,2025-01,2025,1,55.27,-13086.6950120792,-13086.6950120792
43007110,何家垅支局,2025年1月,595821.98,592678.59,1536.62,177.1,0.0,530.0,0,0.0,0.0,836.0,0.0,0.0,0,63.67,0.0,244319.740163478,186262.832233363,2738.12383037628,67136.8720056597,0.0,16812.667721519,2592.48628776152,1230.2255,40892.81,670.452640896658,28501.478,1197.01,3217.681,0.0,0.0,0.0,0.0,11040.9212765201,2114.97,0.0,351502.239836522,351502.239836522,07武汉武昌区,武昌区,2025-01,2025,1,595821.98,351502.239836522,351502.239836522
